Rd 1 Ladder	
ADE	4
GEE	4
RIC	4
WCE	4
POR	4
MEL	4
ESS	4
WES	4
BRI	4
GOL	0
COL	0
HAW	0
STK	0
SYD	0
NOR	0
CAR	0
FRE	0
GRE	0	
Rd 2 Ladder	
POR	8
ADE	8
RIC	8
MEL	8
WCE	8
ESS	8
GEE	8
WES	8
GRE	4
BRI	4
COL	0
NOR	0
STK	0
HAW	0
SYD	0
CAR	0
GOL	0
FRE	0
Rd 3 Ladder	
ADE	12
RIC	12
GEE	12
POR	8
GRE	8
WCE	8
ESS	8
MEL	8
WES	8
STK	4
GOL	4
COL	4
BRI	4
CAR	4
FRE	4
SYD	0
NOR	0
HAW	0
Rd 4 Ladder	
GEE	16
ADE	16
RIC	16
GRE	12
WCE	12
WES	12
POR	8
MEL	8
GOL	8
STK	8
ESS	8
FRE	8
COL	4
CAR	4
BRI	4
SYD	0
NOR	0
HAW	0
Rd 5 Ladder	
ADE	20
GEE	20
RIC	20
GRE	16
WES	16
POR	12
WCE	12
ESS	12
FRE	12
MEL	8
STK	8
GOL	8
COL	4
BRI	4
HAW	4
CAR	4
NOR	0
SYD	0
Rd 6 Ladder	
ADE	24
GRE	20
GEE	20
RIC	20
POR	16
WCE	16
WES	16
MEL	12
STK	12
ESS	12
FRE	12
COL	8
GOL	8
CAR	8
NOR	4
BRI	4
HAW	4
SYD	0
Rd 7 Ladder	
ADE	24
GRE	20
GEE	20
WCE	20
WES	20
RIC	20
POR	16
STK	16
FRE	16
MEL	12
GOL	12
ESS	12
CAR	12
NOR	8
COL	8
HAW	8
SYD	4
BRI	4
Rd 8 Ladder	
ADE	24
GRE	24
WCE	24
POR	20
GEE	20
STK	20
RIC	20
WES	20
FRE	20
MEL	16
ESS	16
GOL	12
CAR	12
HAW	12
SYD	8
NOR	8
COL	8
BRI	4
Rd 9 Ladder	
ADE	28
GRE	28
GEE	24
WCE	24
FRE	24
POR	20
RIC	20
WES	20
STK	20
ESS	20
MEL	16
SYD	12
COL	12
NOR	12
GOL	12
CAR	12
HAW	12
BRI	4
Rd 10 Ladder	
ADE	32
GRE	32
GEE	28
WES	24
RIC	24
WCE	24
FRE	24
POR	20
MEL	20
STK	20
ESS	20
COL	16
NOR	16
HAW	16
SYD	12
GOL	12
CAR	12
BRI	4
Rd 11 Ladder	
GRE	36
ADE	32
GEE	32
RIC	28
POR	24
WES	24
WCE	24
FRE	24
MEL	20
COL	20
STK	20
ESS	20
NOR	16
GOL	16
HAW	16
SYD	12
CAR	12
BRI	4
Rd 12 Ladder	
ADE	36
GRE	36
GEE	32
RIC	28
POR	24
MEL	24
ESS	24
WES	24
WCE	24
FRE	24
COL	20
STK	20
GOL	20
SYD	16
NOR	16
CAR	16
HAW	16
BRI	8
Rd 13 Ladder	
ADE	36
GRE	36
GEE	32
POR	28
MEL	28
RIC	28
WCE	28
ESS	24
WES	24
STK	24
FRE	24
SYD	20
COL	20
GOL	20
CAR	20
NOR	16
HAW	16
BRI	8
Rd 14 Ladder	
GRE	40
ADE	36
GEE	36
POR	32
MEL	32
RIC	32
WCE	28
STK	28
WES	28
SYD	24
ESS	24
FRE	24
COL	20
GOL	20
CAR	20
HAW	20
NOR	16
BRI	8
Rd 15 Ladder	
GRE	42
ADE	40
GEE	38
RIC	36
POR	32
MEL	32
WCE	32
STK	32
SYD	28
WES	28
ESS	24
GOL	24
HAW	24
FRE	24
COL	20
CAR	20
NOR	16
BRI	12
Rd 16 Ladder	
ADE	44
GRE	44
GEE	42
POR	36
MEL	36
RIC	36
STK	36
SYD	32
WCE	32
ESS	28
WES	28
FRE	28
HAW	26
GOL	24
COL	20
CAR	20
NOR	16
BRI	12
Rd 17 Ladder	
ADE	48
GEE	46
GRE	44
POR	40
RIC	40
SYD	36
MEL	36
WCE	36
STK	36
ESS	32
WES	32
FRE	28
HAW	26
COL	24
GOL	24
CAR	20
NOR	16
BRI	12
Rd 18 Ladder	
ADE	52
GEE	46
GRE	44
RIC	44
POR	40
SYD	40
MEL	40
ESS	36
WCE	36
WES	36
STK	36
HAW	30
COL	28
FRE	28
GOL	24
CAR	20
NOR	16
BRI 16
Rd 19 Ladder	
ADE	54
GEE	50
GRE	48
RIC	48
POR	44
SYD	40
MEL	40
WCE	40
WES	40
ESS	36
STK	36
HAW	34
COL	30
FRE	28
GOL	24
NOR	20
CAR	20
BRI	16
Rd 20 Ladder	
ADE	58
GRE	52
RIC	52
GEE	50
POR	44
SYD	44
WES	44
ESS	40
WCE	40
MEL	40
STK	40
COL	34
HAW	34
FRE	32
GOL	24
NOR	20
CAR	20
BRI	16
Rd 21 Ladder	
ADE	62
GRE	56
GEE	54
RIC	52
SYD	48
POR	48
MEL	44
WCE	44
WES	44
ESS	40
STK	40
HAW	38
COL	34
FRE	32
GOL	24
NOR	20
CAR	20
BRI	20
Rd 22 Ladder	
ADE	62
GRE	60
GEE	58
RIC	56
POR	52
SYD	52
MEL	48
ESS	44
WCE	44
STK	44
WES	44
HAW	38
COL	34
FRE	32
CAR	24
GOL	24
NOR	20
BRI	20
Rd 23 Ladder	
ADE	62
GEE	62
RIC	60
GRE	60
POR	56
SYD	56
ESS	48
WCE	48
MEL	48
WES	44
STK	44
HAW	42
COL	38
FRE	32
NOR	24
CAR	24
GOL	24
BRI	20
